sentence1,sentence2
She had to quickly run to the store and buy more.,"Then, Katherine was able to keep her breath fresh for the day."
Carl's foot hit the bump and he fell forward.,The soup landed on the customer and they were very mad.
"She told them that if they got into med school, she'd buy them cars.",They worked really hard for their finals.
A huge storm bombarded Tim.,Tim had to drive slow in the rain.
I played hide and seek with my friends the other day.,We played in the park.
He had never painted before prior to this incident.,He decided that he would try to paint the room on his own anyways.
Her first school dance was coming up in 2 weeks.,Ellen went to the mall to pick out a dress.
She finally went to the local Humane Society.,Janice fell in love with a fluffy cat and took him home that day.
He was too stubborn to ask for help from his friends.,He finally decided to ask two of his friends for help.
The women were having a girls night.,They drank lots of champagne.
Susie wanted to open up a business.,But she had to apply for a loan first.
Jared told him to climb the rock face.,Alex got prepared to go.
His contacts were all very concerned for the plane's safe travels.,"Adrian was very skilled, however, and landed the plane safely."
Her parents grounded her for a month.,She was only able to play volleyball on Monday and Wednesday.
He set his air conditioner higher.,"The next month, Bobby's bill was lower."
Jill had to walk back home on the hot pavement.,Jill's feet were burned on the way home.
He always loved playing.,One day he made a mistake.
The man couldn't afford that.,He offered her a rowboat.
However it tasted horrible.,I threw it away.
None of them cleaned as much as Tom.,There was a pile of dishes in the sink.
His laptop was old and slow.,He decided to buy a new desktop computer.
His mother ran up to see what was wrong.,He was mocked and made fun of at school and didn't want to go back.
"Every day after school, he would take her to the firing range.","When she turned 18, she went to college on a rifle scholarship."
Abby had to go out of town for a few days on business.,"She left her 17 year old son, Mitch, home alone."
John did not have any coffee at home.,John went to the corner store.
I bought a new brand and it worked very well.,After a few weeks of no rash I decided it was good.
"HE saw a ""hot dog"" costume and liked the play on words.",He bought the hot dog costume and took his dog trick or treating.
Jack was home sick from work from a stomach bug.,He was miserable and did not get out of bed all day.
He used to sing every night at the local bar.,One day he was invited to a TV show.
He had been tracking his package all day.,"When he got home, the box was at his door."
Kelly could not wait to get the newest cell phone.,She had pre-ordered hers.
Abby discovered that the house had a cracked foundation.,"In addition, the cost would be over $50,000 to fix the house."
He took 50 selfies.,He posted them all to Instagram.
She went to the store and bought a home pregnancy test.,She took the test without reading the instructions.
His insurance company was very helpful.,They explained all of the deductibles and costs he would pay.
"He hid and ran a lot, not confident that he could fight well.",Time seemed to go by so slowly.
Cam wrote a love note to a pretty girl in his class.,He handed it to her as he walked to throw something away.
It had three tiers.,She had worked for hours on it.
I need to go to the tenth floor.,I was inside the elevator with ten other people.
One day he came home to a wonderful hot meal.,He asked his grandmother what kind of meat was in the stew.
She was afraid to go to sleep beside him.,Exhaustion took over and she fell asleep.
I placed my items in front of the cashier.,She took a moment to look at it and scanned it.
Sandra refused because she didn't have enough money to lend.,Matt then got evicted and became homeless.
Abigail was a barista at a coffee shop.,Many of her customers were regulars.
It made a big mess on my bathroom counter.,"The next day, I took the tube back to the store and complained."
Brody and his family went to a holiday party.,There was lots of food and lots of desserts.
"When she got there, the whole dairy section was empty.",She drove to a new store and bought the eggs there instead.
He saw that his hamper was only half full.,Brad walked through his house picking up clothes he left around.
Ken was going on a vacation.,Many of his friends wanted to join.
Every year Monica entered a pie in the county fair.,She always placed second behind her nemesis Faye.
I used to walk home from school with a girl from the neighborhood.,One day after school we went over to my house.
Now I also know Him and love Him!,For the rest of my life I will only live for Him!
I put some in my mouth.,I ate all of them at once.
Amy was annoyed because she would rather go to the mall.,Kyle asked Amy to play a game.
People asked him about the suitcase.,He said it was top secret.
Dan did not like to see the non stop flashes of lightening in the sky.,"In addition, Dan did not like the crackling noises the wires would mak."
Elena was going out for the first time since she had a baby.,She had hired a babysitter for the first time and she was nervous.
Their house was engulfed in flames and they lost everything.,They were very sad and had to rebuild their home.
He frantically tried to remember where he has been today.,He called the barbershop that he got his haircut earlier.
She went to three different stores to try on suits.,Kara found a bikini she liked at the fourth store.
So he decided to watch it.,It had horrible violence in it.
The family was hosting an exchange student.,She was from Albania.
Jan went to eat at a fast food restaurant.,There was only one table empty.
He found out that he failed his evaluation exam.,He was terrified of it and visited his advisor.
"Finally, he stood up, determined to ask her out.",Tom struck up a conversation and found the date he wanted.
They asked her if she needed help.,Daisy cried and told them how lonely she felt apart from them.
It had specialized hubcaps.,He drove a lot to see his girlfriend.
A path cleared in the middle of the crowd cleared for him.,"His mother was finally revealed, sweating and bewildered."
Candy tripped and hit a table.,A vase fell off the table and shattered on the floor.
Kurt had to ride his bike to work.,He told his coworkers that he was doing it for health reasons.
There was a plan to build a bridge in my town.,The interstate goes under a river.
He was hungover for his first class.,It was math and his professor did a pop quiz.
I had a strange day at work today.,I hit no traffic driving in.
"But when he started smoking weed, he stopped being fun.","He became lazy, grumpy, and stinky."
Aaliyah was a TV reporter.,She was on her way to her wedding in a flowing white gown.
"One time in my life, I won a first place ribbon!",I was very happy about that!
Jonathan decided to visit the beach once more.,Jonathon had a very good time at the beach.
After a while a hobo decided to sit near by.,Jane complained to the staff.
She put it in the oven.,It came out just perfect!
"When they came back, people were gathered around it.",They were talking about how creative and big it was.
They were on the search for the perfect tree.,Lenny saw a tree with an odd shape.
The other country shot down the missiles.,They determined that they weren't aimed at civilian target.
I tried jogging around my neighborhood.,"At first, my endurance was low so I was constantly out of breath."
He still hadn't revealed what his job was.,He was rich and wanted her to like him for him.
Unfortunately I had only a few percent left of battery.,I was so close.
There would be a prize for most creative.,"One girl combined sausage, pineapple, onions and zucchini strips."
"Sheila loved playing pranks, and she used to do it everyday.","She didn't mind whether the person was old, or sick, or not in mood."
"Once at his home, a woman asked for a performance.","Unable to do so, she was miffed."
He would lug his materials to work every morning.,Jerry stopped to pick up a small shiny rock outside the mine.
He got a leaky faucet.,Tom could call to get it fixed.
"An art collector offered Marie $15,000 for the painting.",Marie loved the painting too much to sell it.
She thought she heard another girl insulting her.,She started a fight with the girl and ended up losing.
My friend told me I needed to relax and enjoy the party.,I took a deep breath and started chatting with people.
Inside the wall was a large envelope.,The inspector opened the envelope to find $40.
Kia's class was doing a unit on the Old West.,"The dry, boring text was hard to get interested in."
The bakery offered a fun new cupcake variety.,It was filled with marshmallow cream.
We both ordered the chicken cacciatore.,It was a perfect dinner.
Teddy was dizzy and having headaches.,He went back to the optometrist.
THey each got huge cuts of meat.,THey couldn't finish their steaks.
Johnny used the razor perfectly.,Johnny gave himself a great looking haircut.
His fingers got salty.,He licked his fingers clean.
She was upset.,She cleaned it up and that made her happy.
Cathy is an avid collector of Cabbage Patch Dolls.,"Recently, Cathy saw a rare doll for sale on Ebay."
Everyone loved her potato chips.,Her Dad decided to use her recipe and start a business.
His girlfriend really liked them.,Tim was forced to watch one with her.
Justin always wanted to move away from home.,He got his opportunity after he graduated college.
Gary always wanted to visit the Tomb of the Unknown Soldier.,Gary felt that Memorial Day was a good time to do so.
Unfortunately I can not yet beat that final challenge round.,But I intend to play the game all weekend until I beat it.
She had tons of fun during the long session.,The next week she was ready to view the photos.
A friend tried to drink some without realizing it.,They burned their mouth.
"After my son was born, I was lifted back onto my bed.",I was wheeled back into my room.
Dan bought some running shoes and began to take jogs.,Dan began lifting weights regularly.
I had no idea what I wanted.,I decided to go to the animal shelter and look around.
One of her teeth was severely damaged.,She scheduled an appointment to have it removed.
The doctor suggested chemo.,Pam had to be on the treatment for a long time.
His dad told him he would have to work for it.,Shawn got a job cutting grass.
Joshua like pancakes on a Saturday morning.,His mom makes him a stack of two huge pancakes every Saturday.
"After a while, he realized that having plants would liven up the room.",He went out to the local flower shop and bought as many as he could.
I am told that I have to take a lunch break by my boss.,But I always eat a huge breakfast and am not hungry.
She was nervous but she went out on stage and gave it her all.,"At first, she felt sad when the play ended."
His mom found him.,His mom made him go to church.
She would usually let them go bad in the fridge.,She decided to make sure and eat her leftover lasagna.
Ricky was approaching the front door of her home.,Ricky heard a tiny meow sound coming from behind a potted plant.
She was bored every day.,She decided to take a big risk and take skydiving classes.
"When Annika was a baby, she had acid reflux.","She refused to sleep, and would just scream instead."
He built stairs going up to the loft.,He planned on storing all his decorations in the loft.
Rocky was about to perform his first surgery.,Rocky was scared of messing up.
She was corrupt and stole money from the town.,She laid off the fire department so that she could take their funds.
His doctor prescribed him anti-depressants.,Jimmy took anti-depressants everyday according to his doctor.
He spent the last two days writing as much as he could.,Stu turned in what he had done on the due date.
My wife loves all of the swimming events.,I love all the track and field ones.
Kelly felt Liz needed to speak to her father and confront him.,Kelly called up Liz's father and told him he better come clean.
"Jane bought some red, seedless grapes from her local grocery store.","She thought she saw a black grape, as she was washing them all."
The dress didn't fit.,Jill couldn't find the receipt.
When Mark returned he only had a empty cup.,Mark said he got thirsty and drank the root beer float.
Her husband came home and found he lights hanging from the roof.,He said they would hire someone to finish.
He was very disappointed in her.,"But he sent her the bail money, and told her he loved her."
When I was growing up I loved frogs.,I had nine of them as pets.
My daughter came up from NYC to Brighton for the wedding.,An hour ago Debbie announced she was pregnant.
Dan began vandalizing Eric's lawn in the middle of the night.,"Eric caught Dan, and had Dan taken away by the police."
Gwen forgot to set a timer and the cake burned.,"Now, she goes and buys cakes from the store."
She does not drive and takes mass transit.,It is a ninety minute commute.
He decides he needs something to keep all his books in.,Horatio buys a great backpack at a store.
"When it was time to choose a concert to go to, they couldn't.",They argued back and forth on who should win.
"Since Ben was annoyed, he told her that Santa is not real.",She sat down and cried immediately.
Suzie was scared to go outside.,She hired a therapist to talk to her about her agoraphobia.
He had to pick someone he admired and write about him.,Alan's father is a police officer.
The customer came in and ordered then sent everything back.,Kara finally had her manager deal with him.
Denise decided to go back to school.,She got a degree in education.
He passed out late.,In the morning his family struggled to wake him up.
As Jake was walking to school a small drizzle started.,Jake pulled out his umbrella just before it began to pour.
He wants a new game for his birthday.,He asks his mother and she says no.
Jeff grabbed an inner tube and ran to the stairs.,He was going to ride on a huge water slide!
"When she got old, she was suddenly very pretty.",She married a famous actress.
Roy was cooking an elaborate meal.,He was watching a cooking show as a guide.
Linda hung up the phone.,She'd just ordered a pizza to her house.
He was about to eat it when the phone rang.,He laid the sandwich down and went to the next room.
He took really good care of them.,"One day, a softball hit him in the face and broke a tooth."
He teared up at the sound of her words as she read them.,She kissed him romantically at the end of the ceremony.
My mother gave me a dollar insentif to help me study.,For every multiplication question I answered correctly I got the money.
Charlene wanted to be a singer.,"But when she auditioned for the choir, they said she had a bad voice."
She knew that she wanted to do something important though.,One day her aunt told her that she should become a nurse.
Dan bought a house next to a church.,The churchgoers were always very noisy and it irritated him.
Becky entered a contest.,She did not think she would win.
At the counter he learned that he actually had no reservation.,Somehow online he had made some sort of mistake.
She learned a new world of quilting vocabulary and tools.,"The next day, Annie set about her first homework assignment."
It was hot so Joe went outside.,Jo felt better sitting in the breeze.
"In addition, Cathy realized that she was the only single friend.",Cathy felt bad that she was not happy for her friends wedding.
Steve had a strict daily schedule.,He would always do things very precisely at the same times.
His job revolved around his laptop.,Eventually Tim's laptop broke down.
But Margaret was tired of his cheating.,Mario wrote her a long letter.
Lindsay's mother asked her where she got the new red dress.,Lindsay felt guilty about lying to her mother.
It was addressed to his neighbor.,He went next door and gave his neighbor the letter.
"At school, Charles stood around talking to his girlfriend Naomi.",A bully nearby threw pebbles at Charles.
"Ora loved lions, and when she found they were endangered, she wept.",Then she vowed to do something to help them.
He ended up consulting his high school's coach for advice.,The coach told him that even he did not know how to throw one.
They arrived at the dump site.,She waited patiently while he worked.
"However, I forced myself to eat.",This caused me to throw up.
She drove to the post office.,Danielle went into the mail counter.
They carefully cut the fabric into pieces.,They began sewing and then noticed a problem.
"To Tim's surprise, when the day came he was blessed with a daughter.","Although he had hoped for a baby boy, Tim couldn't be happier."
"After a nearby bomb attack, he spent hours clearing the rubble.","After 2 days of clearing, they heard a child shouting."
I have tiny muscles.,My brother has bigger muscles.
Everyone felt attacked and insulted.,They stopped hanging out with him after that.
"When we reached Russellville, there was a nuclear plant.",The kids asked what it was.
She decided to create a whole book of cookie monsters.,Her book ended up becoming a published children's book.
Everyone was very jealous of him.,Justin's one failure was when he fell during a pole vault.
"The book sold like hot cakes, but she made many enemies.","She became a hermit out of fear, and never left her house after that."
His neighbor went over and tried to walk in.,Tim wasn't expecting anybody.
Heidi met with her team after school everyday.,They studied hard for the tournament.
Tim won a contest for a chain restaurant.,He received two free meals a day for life.
He went to a nearby creek.,He swam in the nearby creek.
Tim went online to look for educational videos.,He tried a few a couple of times.
Tom was playing basketball with friends.,It was supposed to be a friendly game.
"When she put the first bite in her mouth, her whole face redden.",She had to spit the food into a napkin.
"However, the oil I used was bad for my health.",I was sad that I might have to give up fried foods.
He would just throw his clothes on the floor.,Eventually he built up three piles.
And he had no choice but to eat less.,But Matt's anxiety made it too hard for him to change his habits.
He packed up his family.,He went to California.
Susan decided to run the marathon even though she wasn't prepared.,Susan finished the marathon very slowly while in excruciating pain.
He worked for five hours straight.,He felt better about his giant to do list.
Shannon had worked hard for years.,It was finally time to graduate from college.
"After an hour, Tom gave up and threw the letter away.",Tom later regretted giving up and tried again.
"About two weeks after she got him, she noticed something strange.",There were baby bunnies in the cage with Samuel.
"By the time his parents woke up, Tyler had opened all his presents!",Tyler showed his parents everything Santa Claus gave him.
Lance is working hard on building a new room to his house.,He works very hard day and night to get in done quick.
With his mom's help Alex was able to figure out the math problems.,He learned so much he aced the next test.
Nora was devastated!,"Then a neighbor returned the cat, which had been in his yard."
He could not stop reading it.,His family became worried.
She came back outside to check on the hamburger.,The hamburger was gone!
My uncle playfully grabbed nate by the swim shorts.,He accidentally came out of them.
He always found interesting shells.,"Last time, he found a giant shell that had pink swirls."
Tom was drinking at home.,He ran out of beer.
Al bought a Big Mac meal and a large soda.,He then threw the paper bag out of his car onto the sidewalk.
Tom was eating leftover fast food.,He realized he was out of ketchup.
They put butter and Parmesan on it.,The kids gobbled the whole plate up.
Unfortunately it was 80 dollars.,I picked some flowers from the garden by the store.
Edward was lonely and wanted a girlfriend so he started dating.,He went on a date with a girl named Joy.
He had a cup of change in his hand.,Amy walked past him and felt very bad.
The child ran over and drank from my soda.,I laughed and gave him the can.
Tom was very lonely.,He went on an online dating site.
He would write to-do lists and reminders.,"One day, James forgot to write down and appointment."
Bobby wanted to make a salad to go along with his dinner.,He noticed that he only had lettuce.
Kia went to the beach with her friends.,"She had a great time, but forgot sunscreen!"
Gradually it tapered off.,One Christmas she got him an X-box and he got her pyjamas.
Mia didn't realize bugs were in the leaves.,She found bug bites on her legs the next day.
The bartender threw out the man.,The man was too drunk to drive.
Tim didn't have dental insurance.,He had really bad tooth pain.
The video scared Will out of his wits.,"That night, Will's parents said he could sack out with them."
"For Jenna's birthday, Tim took her to a restaurant.",The ambiance was wonderful and they both had a great time.
"Come the morning, we realized my sister had wet the bed.",She was embarrassed so she walked to my grandma's house to change.
John looked at the menu to decide what he wanted.,He thought a milkshake would hit the spot.
Daniel had to get to Chicago on a tight budget.,He had decided to take the bus.
She told her she had to come out.,Tina begged for at least five more minutes.
They got lost.,One of the hikers called for help.
He went to the dentist.,And he had a cavity.
It was too big.,Suzy wanted to give it away.
Tim managed to become an apprentice for a blacksmith in Kansas.,He was sad that the blacksmith didn't make swords but decided to stay.
Norman planted a tree twenty years ago.,The tree was placed adjacent to his childhood home.
There was a drop in the sidewalk.,I forgot about it this time.
Her brother told on her.,Jessica got into trouble and her brother got back at her.
Charlie brushed his hair with a comb.,He put in gel and looked in the mirror.
I thought the trip was a disaster and felt very bad for Amelie.,Amelie's dad came to pick her up.
Eventually they got tired of the magician performing tricks.,The young man did not lose faith and continued working on his craft.
She was scared since Dan was a tall and muscular guy.,Henry tried to stand up for the sake of their relationship.
She gave that person the task of reviewing the other responses.,Jan fired the new hire once her task was complete.
She had to push the emergency call button for help.,Linda had to wait for over six hours before she was freed.
She was dancing pretty hard.,One of her heels broke off.
The fans were excited to experience the rivalry game.,"The team that used to dominate, had weakened over the years."
Caleb wanted a new video game.,The game had a lot of violence.
He decided to go online to see if he could find one.,After entering a few chat rooms he finally found someone he liked.
"I was telling him that if my dad died, I would understand.",We finally arrived to learn that he died minutes before our arrival.
One day the FBI knocked on his door.,Brad cried when they found all of the stolen songs on his computer.
We tried it last night with menthol inserts.,It did not stop her coughing.
She decided to give it a shot and joined them.,"Before long, they were making inappropriate jokes."
"After bringing it home, he found it out that it was too big.",Steve decided to give the big violin to his brother.
June was a professional singer.,She performed at concerts almost every night.
When they went on sale she couldn't get one!,They all sold out so fast.
James picked her up at 6 pm.,The got popcorn and soda.
One day she went out for a ride with her headphones in.,The sun was warm and the music sounded amazing.
She had to put her older cat on an anti-anxiety medication.,"After she did this, the cats ended up getting along perfectly."
Audrey's grandson worked at a supermarket.,She asked him to pick up three or four bananas for her.
Matthew was being impossible to his ex-wife and told lies about her.,He would post articles on Facebook that made her look like an abuser.
A town was having a craft fair in the summer.,The most popular booth was a man selling bottle openers.
She said yes.,He was so excited.
Anna was diving with her friends.,Then her air line snagged.
They gobbled them up as soon as they got home from school.,Linda looked at the empty plate in disbelief.
Tom bought gifts for his son for Christmas.,He didn't want his son to find the gifts before Christmas day.
He researched different face creams to hide them.,He eventually decided on one brand and took it home.
"When Kelly was 18 years old, the kitten (now a cat) became sick.",The cat passed away and Kelly felt like she lost her best friend.
Jack was always getting into trouble at school.,He was never told off for violence normally.
Tom loved eating roasted chicken.,Unfortunately he didn't have much time to cook.
All his groceries shattered on the floor.,Tim complained about it to the manager.
"Unfortunately, *Erika did not.",Junior year in high school she became a stripper and began to use oft.
That night she tuned into the election results.,"To her delight, her candidate ended up winning."
"The trip was great, a sunset cruise.",Diane had a marvelous time on the water that day.
A bunch of burly guys on the corner saw what Lester was doing.,They took Lester's stick from him and beat him with it.
Jeff's car had a very important suitcase inside it.,Jeff left his car in a dangerous area.
That hunter had come out with his bow and arrow to hunt for food.,"The hunter heard a noise from a bush, and thought it was a bird."
"Rudy admitted that they did chores, like trash emptying & lawn-mowing.",His parents talked it over and agreed to give Rudy an allowance.
Joe was playing quarterback in a football game.,Joe was tackled by a lineman.
Stanley feels nervous.,"In the end, they give him the job."
They explored the area.,They found another small passageway.
"While on the way home, it was announced that someone on board was ill.",The cruise ship doubled its speed to get back to shore.
Cathy needed a new pair of gloves to play golf.,She headed to her country club store to buy some.
The alcoholism made him very distant.,He had to stay focused on other subjects.
She went to the animal shelter to find one.,"While she was there, she noticed an old, black cat."
He came in second place and won a new board.,"His friends dubbed him the ""Surf Dude."""
He pulled me out of the sand.,My mother never know about it.
When i was younger i met this girl name Sue at work.,Sue introduced me as her friend Sandra.
As Pat was admiring himself he noticed the full moon.,The moon was a soft shade of orange.
Carl had reservations at a hotel.,The hotel couldn't find his name in the register.
They told the landlord.,He ordered the squatters out!
Fred and Wilma broke up after a long relationship.,Fred started dating Betty but still loved Wilma.
It had landed right on my lap.,I smacked it as hard as I could and instantly regretted it.
It was a week before we were supposed to go out.,Then I got a flat tire.
Last month we used Door Dash for the first time.,We ordered hamburgers.
Soon he decided that he wouldn't allow it.,He demanded that his friend apologize.
The bank teller asked for his account information.,The stranger slammed his hatchet on the table in response.
The ambulance asked him why he was in such a hurry.,"But he'd hit his head so hard, he couldn't recall."
He told them to bring something to eat and drink.,A hundred people showed up.
She was starting to have severe medical problems.,Unfortunately Jane had no self control.
"The husband is from India, and they have two children.",His wife makes lunches for the family.
"Jim's car broke down in Kentucky, far short of his destination.",The people he met were very friendly and welcoming.
The kids were learning about the Ancient Greeks.,They all dressed up in togas.
"Later, he noticed one of his feet hurt when he walked.","When he got home, he took his shoes off."
Somebody noticed.,Somebody asked to film the man's life.
He went to the doctor's office and was asked his symptoms?,"Daryl lied, saying he suffered from depression."
I went to the bike shop and talked to the employees.,They all had different opinions about the best bike.
John was challenged to do a trick with the board on some steps.,"John tried the trick, falling flat on his face."
"Honestly, she wanted to just burn them all.",She dumped them in a can in the yard and lit a match.
But she didn't want to pay the money.,So she entered into a contest.
We plowed the dirt into furrows and places various seeds inside.,"Every day, we'd water the dirty and check the ground for weeds."
Her son went to get a ladder out of the closet.,Tracy's son found the gifts.
I got into a terrible accident with my son in the car.,I couldn't stop having the dream.
Nick reacted quickly by dumping a bucket of liquid on it.,He realized that he'd unwisely been storing gasoline in the bucket.
She noticed something weird floating in the water.,Then she realized it was a big piece of feces.
She wore her glasses almost all day.,Sometimes she also wore her contacts.
"A year ago, she began posting photos of herself and a woman, drinking.",Lately the posts featured hotels and overnight stays.
"We ended up swimming in New London, CT.",It was a fun vacation.
Frustrated she decided to come home early and surprise them.,She found them on the dock fishing.
Tom had them on for a while.,Once removed he felt it was worth it.
The house was only 60 degrees.,So the oil guy had to come out to fix the heat.
It never got better.,He was convinced to go to a doctor.
The teacher walked down the hall.,He saw a student out of class.
The place was packed full of people.,Tom couldn't stop feeling uncomfortable.
"Just as she got one to sleep, the other would wake up screaming mama!",And just as that one went to sleep the other would awaken.
Jamie was wandering through the woods.,He picked up a stick and threw it against a tree.
My cat had gotten a piece of glass stuck in his paw.,We had to take him to the vet for stitches.
Beth described her idea to a friend.,Her friend liked the idea.
Kelly's preteen daughter was going to her very first sleepover.,She had never been away from home and both of them were nervous.
Joe has an English test tomorrow.,He has not studied at all.
It would be climbing towards the top.,I would always take it and place it on the ground.
"A short time later, an officer spotted the suspect.",They arrested him quickly and took him to jail.
He found one that was blue with stripes.,"When he got to the cash register, he did not have enough."
Kaya wanted a pet.,"But she was only four, and her mom worried."
He had to travel for a business launch 6 hours away.,His boss insisted he fly by plane to arrive on time.
She decided to buy them anyway.,She regretted her decision.
But that ended up causing some trouble.,"When Anna disembarked, she grabbed the wrong bag!"
His mom bought him some shoes.,Tom thought they were really ugly.
We started doing everything we could to make money.,We struggled to make ends meet.
She wore her new glasses to school.,Everyone told her how cute she looked.
I went to the beach when it happened.,At first I did not feel it.
"I had to mind our kids, 6 and 2.","To kill time, I took them to the mall."
This has created a problem.,I wait for a day after eating a meal to go for the leftovers.
Mary was in the hospital giving birth to her first child.,She was in the middle of contractions when the power went out.
She grabbed a lint roller and worked to remove it.,Kendra got her shirt clean and then rushed out the door.
He tied a rope around the melon.,He drifted it in the river.
Dan tried for over an hour with no luck.,"Frustrated, Dan used a lighter to start the fire."
The man dug for hours until it was deep enough.,He lined the pool and filled it with water.
Holden was nervous for his first day of Preschool.,His family had just moved to a new city and he didn't know the area.
At a very young age she started saving her money.,By the time she was the age of 25 she had a fortune.
Paul was at the beach taking a break from swimming.,He was laying on his towel enjoying the heat when he fell asleep.
Reggie is a star football player.,One game while running for a touchdown he takes a big hit.
So they decided to look online.,They sat in the car looking on their phones for a better deal.
Denise decided the best thing would be to try waxing.,"After locating a clinic, Denise tried the facial waxing."
Within a week her piercing was infected.,Janet had to take it out.
There was a bird perched on the window frame to her bedroom.,The bird was pecking at the wood creating a hole.
Eric loved honey buns.,Eric tried to make them.
Her mummy and daddy decided it was time for her to have a proper bed.,They went to the shop and Freya tried out all the beds on display.
Carl loved his wife.,He wanted to surprise her for their anniversary.
Hannah tried to prepare fruit punch.,She placed the power in a jug with water and sugar.
She banded up with a group a friends.,And they played baroque music together.
She choked to death on one of his stuffed peppers.,Jim never cooked again.
The boy thought it was true.,The man assured him it wasn't.
He prepared a feast with everything from saffron to absinthe.,He invited the whole world to participate in the festivities!
I saw a brand I liked.,I purchased the television.
Most of them told her they were not interested.,She only got two new clients.
Abby was on her way home after a long day at work.,"As Abby was about to turn right into her complex, she was hit."
Grandma was depressed when her best friend moved away.,She missed her companionship and felt too old to make new friends.
He wrote two more books.,They sold a lot of copies.
It was an orange tabby.,I had watched Oliver and Company recently.
Jim bought a phone for his daughter.,He thought she was ready for a cell phone.
He told the boss his daughter had been killed in India by her husband.,Everyone offered condolences.
I couldn't decide what to make for lunch.,"I had to flu, and was miserable."
He spent hours and hours browsing vacation websites.,But he couldn't reach a decision.
We had a lot of good memories on that couch.,When my mom passed we had to decide what to do with it.
I had to wait three days before I could return to the class.,"After the soreness left my body, I was able to go back to class."
Ralph really enjoys the camping trip.,The time comes and the trip is over and he leaves the campground.
Tracy walked on the beach in her flip-flops.,The plastic part of the slipper pulled through the sole.
I was very nervous as I've never been there before.,When the bus route ended I asked the driver where to go.
We have picked out several movies from the 1980s.,We talked about baking cookies beforehand.
"On Monday, everyone grumbled about their awful weekends!",Everyone agreed that babies were a handful-and a pain in the neck!
Frank always loved watching comedy movies at home after work.,One day he decided to watch a scary movie instead.
"In addition, his opponents were constantly blocking him.",Ian took out his frustrating my knocking an opponent down.
"When he opened the door, his friends screamed ""Surprise""!",It was his Birthday.
The exhibit is set to open next week.,However Pierre got a sneak peek at the exhibit before it opened.
Now she was lost alone in the maze and couldn't get out.,As time passed she panic and began yelling.
A man stared at Bob from across the bar.,Bob stared back.
I had to get out of bed numerous times through the night.,"Each time I awoke, I had to rush to the bathroom."
Mary said that she would turn her music down.,"Even though she didn't want to, Mary turned her music down."
"When she poured it on her cereal, she was shocked.",Thick chunks were coming out of the jug!
"When they molt, they lose a lot of their feathers.",Chicken feathers cover our yard.
I soon forgot about the ocarina in 1975.,Years later my son picked it up and taught himself how to play.
Ellie loved ballet and was very happy.,"On the day of her recital, Ellie was so excited."
"One day, a little girl crossed his lawn and he yelled at her.",The girl was not afraid and approached Albert with a nice red rose.
He took a load out of the dryer and took it upstairs.,Once upstairs he took the load back down to wash.
There was a fifty dollar registration fee Maria was aware of.,Maria left unhappy without signing up.
Greg loved to eat junk food.,Pizza was his favorite.
They gave Lindsay a fake ID.,The bouncer caught the fake ID.
He opened his fridge to find something to eat.,The only thing he could find were sardines.
"After he touched it, Eddie realized that his mother was gone.","Just as he was about to cry, Eddie's mother found him again."
She never wanted to go to school.,"She spent all of her time with her boyfriend, skipping class."
